battery,camera,memory,price,processor,screen,title,warranty
3000 mAh Battery,12MP Rear Camera | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 400 GB,"₹24,999",Exynos 9810 Processor,14.73 cm (5.8 inch) Quad HD+ Display,"Samsung Galaxy S9 (Midnight Black, 64 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
3500 mAh Battery,12MP + 12MP | 8MP Front Camera,6 GB RAM | 64 GB ROM | Expandable Upto 400 GB,"₹30,999",Exynos 9810 Processor,15.75 cm (6.2 inch) Quad HD+ Display,"Samsung Galaxy S9 Plus (Midnight Black, 64 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4000 mAh Li-ion Battery,48MP + 8MP + 5MP | 32MP Front Camera,4 GB RAM | 128 GB ROM,"₹18,570",Exynos 9611 Processor,16.26 cm (6.4 inch) Full HD+ Display,"Samsung Galaxy A50s (Prism Crush Black, 128 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
4000 mAh Lithium-ion Battery,25MP + 5MP + 8MP | 25MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"₹15,499",Exynos 9610 Processor,16.26 cm (6.4 inch) Full HD+ Display,"Samsung Galaxy A50 (Blue, 64 GB)",Super AMOLED Display
4500 mAh Lithium-ion Battery,48MP + 12MP + 5MP | 32MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"₹42,999",Qualcomm Snapdragon 855 (SM8150) Processor,17.02 cm (6.7 inch) Full HD+ Display,"Samsung Galaxy S10 Lite (Prism Blue, 128 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
5000 mAh Lithium-ion Battery,13MP + 5MP + 2MP | 8MP Front Camera,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"₹10,999",Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,16.26 cm (6.4 inch) HD+ Display,"Samsung Galaxy M11 (Metallic Blue, 32 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
5000 mAh Lithium-ion Battery,13MP + 5MP + 2MP | 8MP Front Camera,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"₹10,999",Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,16.26 cm (6.4 inch) HD+ Display,"Samsung Galaxy M11 (Violet, 32 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
4000 mAh Li-ion Battery,48MP + 8MP + 5MP | 32MP Front Camera,4 GB RAM | 128 GB ROM,"₹18,570",Exynos 9611 Processor,16.26 cm (6.4 inch) Full HD+ Display,"Samsung Galaxy A50s (Prism Crush White, 128 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
4000 mAh Lithium-ion Battery,48MP + 12MP + 5MP + 5MP | 32MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"₹25,250",Exynos 9611 Processor,16.26 cm (6.4 inch) Full HD+ Display,"Samsung Galaxy A51 (Prism Crush Blue, 128 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4500 mAh Lithium-ion Battery,48MP + 12MP + 5MP | 32MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"₹42,999",Qualcomm Snapdragon 855 (SM8150) Processor,17.02 cm (6.7 inch) Full HD+ Display,"Samsung Galaxy S10 Lite (Prism Black, 128 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
